"Time","{__name__=""gala_gopher_block_read_bytes"", blk_name=""openeuler-home"", disk_name=""sda"", first_minor=""2"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", major=""253"", scenario=""customersMemStress""}","{__name__=""gala_gopher_block_read_bytes"", blk_name=""openeuler-root"", disk_name=""sda"", first_minor=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", major=""253"", scenario=""customersMemStress""}","{__name__=""gala_gopher_block_read_bytes"", blk_name=""openeuler-swap"", disk_name=""sda"", first_minor=""1"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", major=""253"", scenario=""customersMemStress""}","{__name__=""gala_gopher_block_read_bytes"", blk_name=""sda"", disk_name=""sda"", first_minor=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", major=""8"", scenario=""customersMemStress""}"
2025-05-21 00:53:15,0,0,,0
2025-05-21 00:53:30,0,0,,0
2025-05-21 00:53:45,0,0,,0
2025-05-21 00:54:00,0,0,,0
2025-05-21 00:54:15,0,0,,8192
2025-05-21 00:54:30,0,0,,8192
2025-05-21 00:54:45,0,131072,,8192
2025-05-21 00:55:00,0,131072,,8192
2025-05-21 00:55:15,0,131072,,122880
2025-05-21 00:55:30,0,131072,,122880
2025-05-21 00:55:45,0,0,,122880
2025-05-21 00:56:00,0,0,,122880
2025-05-21 00:56:15,0,0,,0
2025-05-21 00:56:30,0,0,,0
2025-05-21 00:56:45,0,0,,0
2025-05-21 00:57:00,0,0,,0
2025-05-21 00:57:15,0,0,,0
2025-05-21 00:57:30,0,0,,0
2025-05-21 00:57:45,0,0,,0
2025-05-21 00:58:00,0,0,,0
2025-05-21 00:58:15,0,0,,0
2025-05-21 00:58:30,0,0,,0
2025-05-21 00:58:45,0,0,,0
2025-05-21 00:59:00,0,0,,0
2025-05-21 00:59:15,0,0,,0
2025-05-21 00:59:30,0,0,,0
2025-05-21 00:59:45,0,0,,0
2025-05-21 01:00:00,0,0,,0
2025-05-21 01:00:15,0,0,,0
2025-05-21 01:00:30,0,0,,0
2025-05-21 01:00:45,0,0,,0
2025-05-21 01:01:00,0,0,,0
2025-05-21 01:01:15,0,0,,0
2025-05-21 01:01:30,0,0,,0
2025-05-21 01:01:45,0,0,,0
2025-05-21 01:02:00,0,0,,0
2025-05-21 01:02:15,0,0,,0
2025-05-21 01:02:30,0,0,,0
2025-05-21 01:02:45,0,0,,0
2025-05-21 01:03:00,0,0,,0
2025-05-21 01:03:15,0,0,,0
2025-05-21 01:03:30,0,0,,0
2025-05-21 01:03:45,0,0,,0
2025-05-21 01:04:00,0,0,,0
2025-05-21 01:04:15,0,0,,0
2025-05-21 01:04:30,0,0,,0
2025-05-21 01:04:45,0,0,,0
2025-05-21 01:05:00,0,0,,0
2025-05-21 01:05:15,0,0,,0
2025-05-21 01:05:30,0,0,,0
2025-05-21 01:05:45,0,0,,0
2025-05-21 01:06:00,0,0,,0
2025-05-21 01:06:15,0,0,,0
2025-05-21 01:06:30,0,0,,0
2025-05-21 01:06:45,0,0,,0
2025-05-21 01:07:00,0,0,,0
2025-05-21 01:07:15,0,0,,0
2025-05-21 01:07:30,0,0,,0
2025-05-21 01:07:45,0,0,,0
2025-05-21 01:08:00,0,0,,0
2025-05-21 01:08:15,0,0,,0
2025-05-21 01:08:30,0,0,,0
2025-05-21 01:08:45,0,0,,0
2025-05-21 01:09:00,0,0,,0
2025-05-21 01:09:15,0,0,,0
2025-05-21 01:09:30,0,0,,0
2025-05-21 01:09:45,0,0,,0
2025-05-21 01:10:00,0,0,,0
2025-05-21 01:10:15,0,0,,0
2025-05-21 01:10:30,0,0,,0
2025-05-21 01:10:45,0,0,,0
2025-05-21 01:11:00,0,0,,0
2025-05-21 01:11:15,0,0,,0
2025-05-21 01:11:30,0,0,,0
2025-05-21 01:11:45,0,0,,0
2025-05-21 01:12:00,0,0,,0
2025-05-21 01:12:15,0,0,,0
2025-05-21 01:12:30,0,0,,0
2025-05-21 01:12:45,0,0,,0
2025-05-21 01:13:00,0,0,,0
2025-05-21 01:13:15,0,0,,0
2025-05-21 01:13:30,0,0,,0
2025-05-21 01:13:45,0,0,,0
2025-05-21 01:14:00,0,0,,0
2025-05-21 01:14:15,0,0,,0
2025-05-21 01:14:30,0,0,,0
2025-05-21 01:14:45,0,0,,0
2025-05-21 01:15:00,0,0,,0
2025-05-21 01:15:15,0,0,,0
2025-05-21 01:15:30,0,0,,0
2025-05-21 01:15:45,0,0,,0
2025-05-21 01:16:00,0,0,,0
2025-05-21 01:16:15,0,0,,0
2025-05-21 01:16:30,0,0,,0
2025-05-21 01:16:45,0,0,,0
2025-05-21 01:17:00,0,0,,0
2025-05-21 01:17:15,0,0,,0
2025-05-21 01:17:30,0,4096,,4096
2025-05-21 01:17:45,0,4096,,4096
2025-05-21 01:18:00,0,4096,,4096
2025-05-21 01:18:15,0,4096,,4096
2025-05-21 01:18:30,0,0,,0
2025-05-21 01:18:45,0,0,,0
2025-05-21 01:19:00,0,0,,0
2025-05-21 01:19:15,0,0,,0
2025-05-21 01:19:30,0,0,,0
2025-05-21 01:19:45,0,0,,0
2025-05-21 01:20:00,0,0,,0
2025-05-21 01:20:15,0,0,,0
2025-05-21 01:20:30,0,0,,0
2025-05-21 01:20:45,0,0,,0
2025-05-21 01:21:00,0,0,,0
2025-05-21 01:21:15,0,0,,0
2025-05-21 01:21:30,0,0,,0
2025-05-21 01:21:45,0,0,,0
2025-05-21 01:22:00,0,0,,0
2025-05-21 01:22:15,0,0,,0
2025-05-21 01:22:30,0,0,,0
2025-05-21 01:22:45,0,0,,0
2025-05-21 01:23:00,0,0,,0
2025-05-21 01:23:15,0,0,,0
2025-05-21 01:23:30,0,0,,0
2025-05-21 01:23:45,0,0,,0
2025-05-21 01:24:00,0,0,,0
2025-05-21 01:24:15,0,0,,0
2025-05-21 01:24:30,0,0,,0
2025-05-21 01:24:45,0,0,,0
2025-05-21 01:25:00,0,0,,0
2025-05-21 01:25:15,0,38219776,,0
2025-05-21 01:25:30,0,38219776,,0
2025-05-21 01:25:45,0,38219776,,61325312
2025-05-21 01:26:00,0,38219776,,61325312
2025-05-21 01:26:15,0,38219776,,61325312
2025-05-21 01:26:30,0,23109632,,61325312
2025-05-21 01:26:45,0,23109632,0,3784704
2025-05-21 01:27:00,0,23109632,0,3784704
