minutes,io_openeuler-home,io_openeuler-root,io_openeuler-swap,io_sda,io_source,io_Minutes,io_openeuler-home,io_openeuler-root,io_openeuler-swap,io_sda,io_source,io_Minutes
0.0,131072,360448,0,491520,CPU_STRESS,0.0,4561920,2641920,0,10002432,CPU_STRESS,0.0
0.25,131072,360448,0,491520,CPU_STRESS,0.25,4561920,2641920,0,10002432,CPU_STRESS,0.25
0.5,131072,360448,0,491520,CPU_STRESS,0.5,4561920,2641920,0,10002432,CPU_STRESS,0.5
0.75,131072,360448,1,491520,CPU_STRESS,0.75,4561920,3385719,1222,5559186,CPU_STRESS,0.75
1.0,24576,48455680,1,48480256,CPU_STRESS,1.0,1769472,3385719,1222,5505811,CPU_STRESS,1.0
1.25,24576,48455680,1,48480256,CPU_STRESS,1.25,1769472,3641013,1222,5243916,CPU_STRESS,1.25
1.5,24576,48455680,1,48480256,CPU_STRESS,1.5,1769472,3707759,1222,5092271,CPU_STRESS,1.5
1.75,24576,48455680,1,48480256,CPU_STRESS,1.75,1632204,4178508,1222,5204309,CPU_STRESS,1.75
2.0,0,4096,1,4096,CPU_STRESS,2.0,1452014,4258120,1222,5350058,CPU_STRESS,2.0
2.25,0,4096,1,4096,CPU_STRESS,2.25,1433667,5213796,1222,6585232,CPU_STRESS,2.25
2.5,0,4096,1,4096,CPU_STRESS,2.5,1432415,5319840,1222,6793633,CPU_STRESS,2.5
2.75,0,4096,1,4096,CPU_STRESS,2.75,1402507,5185167,1222,6390080,CPU_STRESS,2.75
3.0,0,0,1,0,CPU_STRESS,3.0,1444864,5183119,1222,6443793,CPU_STRESS,3.0
3.25,0,0,1,0,CPU_STRESS,3.25,1444864,5132820,1222,6337476,CPU_STRESS,3.25
3.5,70,0,1,0,CPU_STRESS,3.5,1444864,5068041,1222,6265733,CPU_STRESS,3.5
3.75,70,0,1,0,CPU_STRESS,3.75,1444864,4966503,1222,6139901,CPU_STRESS,3.75
4.0,70,0,1,0,CPU_STRESS,4.0,1444864,4962214,1222,6131716,CPU_STRESS,4.0
4.25,70,0,1,0,CPU_STRESS,4.25,1366016,4649744,1222,5738108,CPU_STRESS,4.25
4.5,70,1932,1,4419,CPU_STRESS,4.5,1366016,4606182,1222,5677073,CPU_STRESS,4.5
4.75,70,1932,1,4419,CPU_STRESS,4.75,1277952,4531150,1222,5628257,CPU_STRESS,4.75
5.0,70,1932,1,4419,CPU_STRESS,5.0,1064960,4527373,1222,5628257,CPU_STRESS,5.0
5.25,70,1932,1,4419,CPU_STRESS,5.25,1064960,4500163,1222,5685235,CPU_STRESS,5.25
5.5,70,1932,1,4419,CPU_STRESS,5.5,1098735,4482325,1222,5722995,CPU_STRESS,5.5
5.75,70,1932,1,4419,CPU_STRESS,5.75,1080026,4493934,1222,5735835,CPU_STRESS,5.75
6.0,70,1932,1,4419,CPU_STRESS,6.0,1080026,4493934,1222,5735835,CPU_STRESS,6.0
6.25,70,1932,1,4419,CPU_STRESS,6.25,1075696,4510667,1222,5554046,CPU_STRESS,6.25
6.5,70,1932,1,4419,CPU_STRESS,6.5,1080886,4504069,1222,5468493,CPU_STRESS,6.5
6.75,70,1932,1,4419,CPU_STRESS,6.75,1097126,4443674,1222,5469376,CPU_STRESS,6.75
7.0,70,1932,1,4419,CPU_STRESS,7.0,1114464,4418458,1222,5460923,CPU_STRESS,7.0
7.25,70,1932,1,4419,CPU_STRESS,7.25,1239370,3780171,1222,5417087,CPU_STRESS,7.25
7.5,70,1932,1,4419,CPU_STRESS,7.5,1262541,3806131,1222,5436632,CPU_STRESS,7.5
7.75,70,1932,1,4419,CPU_STRESS,7.75,1280998,4083127,1222,5511745,CPU_STRESS,7.75
8.0,70,1932,1,4419,CPU_STRESS,8.0,1262085,4080477,1222,5531537,CPU_STRESS,8.0
8.25,70,1932,1,4419,CPU_STRESS,8.25,1261048,4171393,1222,5848096,CPU_STRESS,8.25
8.5,70,1932,1,4419,CPU_STRESS,8.5,1247324,5100856,1222,5891024,CPU_STRESS,8.5
8.75,70,1932,1,4419,CPU_STRESS,8.75,1235478,5140915,1222,5873639,CPU_STRESS,8.75
9.0,70,1932,1,4419,CPU_STRESS,9.0,1205743,4956425,1222,5873639,CPU_STRESS,9.0
9.25,70,1932,1,4419,CPU_STRESS,9.25,1195200,4942843,1222,5900415,CPU_STRESS,9.25
9.5,70,1932,1,4419,CPU_STRESS,9.5,1109464,4474722,1222,5888312,CPU_STRESS,9.5
9.75,70,1932,1,4419,CPU_STRESS,9.75,919093,4465318,1222,5877148,CPU_STRESS,9.75
10.0,70,1932,1,4419,CPU_STRESS,10.0,932072,4534754,1222,5877148,CPU_STRESS,10.0
10.25,70,1932,1,4419,CPU_STRESS,10.25,1046782,4561016,1222,5902145,CPU_STRESS,10.25
10.5,70,1932,1,4419,CPU_STRESS,10.5,1081602,5057866,1222,5911464,CPU_STRESS,10.5
10.75,70,1932,1,4419,CPU_STRESS,10.75,1305980,5120366,1222,5902146,CPU_STRESS,10.75
11.0,70,1932,1,4419,CPU_STRESS,11.0,1301953,5011278,1222,5899099,CPU_STRESS,11.0
11.25,70,1932,1,4419,CPU_STRESS,11.25,1119683,4982064,1222,5890004,CPU_STRESS,11.25
