minutes,apigateway_api_gateway,apigateway_source,blocklatency_disk sda,customersservice_customers_service,customersservice_source,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,iowait_cpu 8,iowait_cpu 9,iowait_source,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,irq_cpu 8,irq_cpu 9,irq_source,memavailable_mem_available,memavailable_source,memcache_mem_cache,memcache_source,memutil_mem_util,memutil_source,readbytes_openeuler-home,readbytes_openeuler-root,readbytes_openeuler-swap,readbytes_sda,readbytes_source,srtt_source,srtt_SRTT_cumulative,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,system_cpu 8,system_cpu 9,system_source,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,user_cpu 8,user_cpu 9,user_source,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,utilization_cpu 8,utilization_cpu 9,utilization_source,vetsservice_vets_service,vetsservice_source,visitsservice_visits_service,visitsservice_source,writebytes_openeuler-home,writebytes_openeuler-root,writebytes_openeuler-swap,writebytes_sda,writebytes_source
2025-05-17 17:01:15,0.0,THREADFULL,12,0.0,THREADFULL,0,20,0,20,30,10,90,0,0,0,THREADFULL,150,220,140,120,100,210,120,160,0,0,THREADFULL,16937400,threadfull,4604000,threadfull,31.95,threadfull,1175552,3002368,0,4546560,threadfull,THREADFULL,745.0,450,570,480,530,560,490,670,420,0,0,THREADFULL,4280,4660,4680,8120,7740,4580,7970,4910,0,0,THREADFULL,35.75,37.1,37.0,37.6,37.0,35.85,37.45,37.25,0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL,1175552,3002368,4546560,,threadfull
2025-05-17 17:01:30,0.0,THREADFULL,12,0.0,THREADFULL,90,10,380,0,60,80,40,0,0,0,THREADFULL,470,490,370,380,370,360,340,400,0,0,THREADFULL,16314144,threadfull,4600112,threadfull,32.0,threadfull,1175552,3002368,0,4546560,threadfull,THREADFULL,506.0,590,740,590,1090,960,710,950,690,0,0,THREADFULL,6150,5800,6080,10250,10170,6030,10130,5910,0,0,THREADFULL,52.9,51.9,51.9,53.8,53.2,51.4,53.2,52.0,0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL,1175552,3002368,4546560,,threadfull
2025-05-17 17:01:45,0.0,THREADFULL,12,0.0,THREADFULL,90,10,380,0,60,80,40,0,0,0,THREADFULL,470,490,370,380,370,360,340,400,0,0,THREADFULL,16314144,threadfull,4600112,threadfull,32.0,threadfull,1175552,3366912,0,4300800,threadfull,THREADFULL,506.0,590,740,590,1090,960,710,950,690,0,0,THREADFULL,6150,5800,6080,10250,10170,6030,10130,5910,0,0,THREADFULL,52.9,51.9,51.9,53.8,53.2,51.4,53.2,52.0,0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL,1175552,3366912,4300800,,threadfull
2025-05-17 17:02:00,0.0,THREADFULL,12,0.0,THREADFULL,104,11,379,32,89,96,64,126,0,0,THREADFULL,586,759,447,605,457,512,474,554,0,0,THREADFULL,15607708,threadfull,4601074,threadfull,32.0,threadfull,1111921,3465705,0,4482138,threadfull,THREADFULL,3837.657689052487,701,798,711,1195,1021,783,1030,769,0,0,THREADFULL,6150,5800,6080,10250,10170,6030,10130,5910,0,0,THREADFULL,52.9,51.9,51.9,53.8,53.2,51.4,53.2,52.0,0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL,1027356,3491406,4406137,2880886.6288484843,threadfull
2025-05-17 17:02:15,0.0,THREADFULL,12,0.0,THREADFULL,81,18,249,72,161,124,40,34,0,0,THREADFULL,794,1060,631,934,742,721,830,763,0,0,THREADFULL,15460175,threadfull,4601227,threadfull,35.97976784408402,threadfull,891470,3524890,0,4478136,threadfull,THREADFULL,4552.516508630258,778,863,752,1256,1177,836,1109,852,0,0,THREADFULL,7094,7631,7479,12593,12083,7391,12866,7601,0,0,THREADFULL,60.31849047619051,62.224101984127,61.44241190476194,62.34367619047619,62.27554920634919,60.7930867771118,62.61775133463028,62.85481616161613,0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL,825373,3525318,4402828,2880886.6288484843,threadfull
2025-05-17 17:02:30,0.0,THREADFULL,13,0.0,THREADFULL,81,18,249,73,160,124,40,33,0,0,THREADFULL,794,1060,631,934,742,721,830,773,0,0,THREADFULL,15460175,threadfull,4601271,threadfull,35.97976784408402,threadfull,818638,3742095,0,4663703,threadfull,THREADFULL,6237.746545399044,764,863,752,1261,1174,838,1110,846,0,0,THREADFULL,7570,7525,7675,12820,12970,7695,12930,7640,0,0,THREADFULL,65.5,66.8,65.8,68.9,68.4,65.85,68.75,67.0,0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL,798966,3766093,4679623,2853853.028848484,threadfull
2025-05-17 17:02:45,0.0,THREADFULL,13,0.0,THREADFULL,38,5,89,139,336,131,6,11,0,0,THREADFULL,1342,1184,834,1274,985,1042,1148,1115,0,0,THREADFULL,15598155,threadfull,4601811,threadfull,36.12535338909457,threadfull,796273,3742095,0,4712700,threadfull,THREADFULL,6594.454084859587,914,918,942,1515,1375,876,1406,916,0,0,THREADFULL,7570,7525,7675,12820,12970,7695,12930,7640,0,0,THREADFULL,65.5,66.8,65.8,68.9,68.4,65.85,68.75,67.0,0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL,798098,3767163,4753157,2853853.028848484,threadfull
2025-05-17 17:03:00,0.0,THREADFULL,13,0.0,THREADFULL,43,9,95,138,335,134,9,12,0,0,THREADFULL,1469,1273,911,1318,994,1084,1218,1165,0,0,THREADFULL,15487691,threadfull,4601800,threadfull,36.13596053195172,threadfull,796273,4385488,0,5398872,threadfull,THREADFULL,6935.791103342929,936,950,983,1567,1452,905,1472,962,0,0,THREADFULL,7570,7525,7675,12820,12970,7695,12930,7640,0,0,THREADFULL,65.5,66.8,65.8,68.9,68.4,65.85,68.75,67.0,0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL,798098,4417417,5426825,2853853.028848484,threadfull
2025-05-17 17:03:15,0.0,THREADFULL,13,0.0,THREADFULL,68,42,153,143,231,125,22,26,0,0,THREADFULL,1181,1139,891,1105,854,1043,973,1117,0,0,THREADFULL,15231916,threadfull,4601188,threadfull,36.12425074451693,threadfull,970090,4697247,0,5536187,threadfull,THREADFULL,7418.768509407262,1057,1032,1054,1617,1619,1001,1551,1014,0,0,THREADFULL,7570,7525,7675,12820,12970,7695,12930,7640,0,0,THREADFULL,65.5,66.8,65.8,68.9,68.4,65.85,68.75,67.0,0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL,961423,4619366,5522462,2853853.028848484,threadfull
2025-05-17 17:03:30,0.0,THREADFULL,13,0.0,THREADFULL,59,47,154,144,219,125,24,26,0,0,THREADFULL,1181,1138,891,1021,848,1038,916,1116,0,0,THREADFULL,15203558,threadfull,4601007,threadfull,36.194328522294704,threadfull,1006558,4909501,0,5790144,threadfull,THREADFULL,7287.6718441107505,1074,1050,1061,1617,1646,1019,1557,1015,0,0,THREADFULL,7620,7870,7840,13050,13600,8110,13490,7990,0,0,THREADFULL,66.0,66.1,66.0,67.2,68.1,67.1,68.4,66.4,0,0,THREADFULL,0.0,THREADFULL,0.0,THREADFULL,1009920,4830817,5770177,2866055.0128484853,threadfull
