Time,vets_service
2025-05-21 01:15:45,0
2025-05-21 01:16:00,0
2025-05-21 01:16:15,0
2025-05-21 01:16:30,0
2025-05-21 01:16:45,0
2025-05-21 01:17:00,0
2025-05-21 01:17:15,0
2025-05-21 01:17:30,0
2025-05-21 01:17:45,0
2025-05-21 01:18:00,0
2025-05-21 01:18:15,0
2025-05-21 01:18:30,0
2025-05-21 01:18:45,0
2025-05-21 01:19:00,0
2025-05-21 01:19:15,0
2025-05-21 01:19:30,0
2025-05-21 01:19:45,0
2025-05-21 01:20:00,0
2025-05-21 01:20:15,0
2025-05-21 01:20:30,0
2025-05-21 01:20:45,0
2025-05-21 01:21:00,0
2025-05-21 01:21:15,0
2025-05-21 01:21:30,0
2025-05-21 01:26:45,0
2025-05-21 01:27:00,0
2025-05-21 01:27:15,0
2025-05-21 01:27:30,0
2025-05-21 01:27:45,0
2025-05-21 01:28:00,0
2025-05-21 01:28:15,0
2025-05-21 01:28:30,0
2025-05-21 01:28:45,0
2025-05-21 01:29:00,0
2025-05-21 01:29:15,0
2025-05-21 01:29:30,0
2025-05-21 01:29:45,0
2025-05-21 01:30:00,0
2025-05-21 01:30:15,0
2025-05-21 01:30:30,0
2025-05-21 01:30:45,0
2025-05-21 01:31:00,0
2025-05-21 01:31:15,0
2025-05-21 01:31:30,0
2025-05-21 01:32:45,0
2025-05-21 01:33:00,0
2025-05-21 01:33:15,0
2025-05-21 01:33:30,0
2025-05-21 01:33:45,0
2025-05-21 01:34:00,0
2025-05-21 01:34:15,0
2025-05-21 01:34:30,0
2025-05-21 01:34:45,0
2025-05-21 01:35:00,0
2025-05-21 01:35:15,0
2025-05-21 01:35:30,0
2025-05-21 01:35:45,0
2025-05-21 01:36:00,0
2025-05-21 01:36:15,0
2025-05-21 01:36:30,0
2025-05-21 01:36:45,0
2025-05-21 01:37:00,0
2025-05-21 01:37:15,0
2025-05-21 01:37:30,0
2025-05-21 01:37:45,0
2025-05-21 01:40:45,0
2025-05-21 01:41:00,0
2025-05-21 01:41:15,0
2025-05-21 01:41:30,0
2025-05-21 01:41:45,0
2025-05-21 01:42:00,0
2025-05-21 01:42:15,0
2025-05-21 01:42:30,0
2025-05-21 01:42:45,0
2025-05-21 01:43:00,0
2025-05-21 01:43:15,0
2025-05-21 01:43:30,0
2025-05-21 01:43:45,0
2025-05-21 01:44:00,0
2025-05-21 01:44:15,0
2025-05-21 01:44:30,0
2025-05-21 01:44:45,0
2025-05-21 01:45:00,0
2025-05-21 01:45:15,0
2025-05-21 01:45:30,0
2025-05-21 01:53:00,7
2025-05-21 01:53:15,7
2025-05-21 01:53:30,7
2025-05-21 01:53:45,7
2025-05-21 01:54:00,1
2025-05-21 01:54:15,1
2025-05-21 01:54:30,1
2025-05-21 01:54:45,1
2025-05-21 01:55:00,0
2025-05-21 01:55:15,0
2025-05-21 01:55:30,0
2025-05-21 01:55:45,0
2025-05-21 01:56:00,0
2025-05-21 01:56:15,0
2025-05-21 01:56:30,0
2025-05-21 01:56:45,0
2025-05-21 01:57:00,0
2025-05-21 01:57:15,0
2025-05-21 01:57:30,0
2025-05-21 01:57:45,0
2025-05-21 01:58:00,0
2025-05-21 01:58:15,0
2025-05-21 01:58:30,0
2025-05-21 01:58:45,0
2025-05-21 01:59:00,0
2025-05-21 01:59:15,0
2025-05-21 01:59:30,0
2025-05-21 01:59:45,0
2025-05-21 02:02:00,0
2025-05-21 02:02:15,0
2025-05-21 02:02:30,0
2025-05-21 02:02:45,0
2025-05-21 02:03:00,0
2025-05-21 02:03:15,0
2025-05-21 02:03:30,0
2025-05-21 02:03:45,0
2025-05-21 02:04:00,8
2025-05-21 02:04:15,8
