Time,connection_1,connection_2,connection_3
2025-05-19 00:55:45,,0,,0
2025-05-19 00:56:00,,0,,0
2025-05-19 00:56:15,,0,,0
2025-05-19 00:56:30,,0,,0
2025-05-19 00:56:45,,0,,0
2025-05-19 00:57:00,,0,,0
2025-05-19 00:57:15,,0,,0
2025-05-19 00:57:30,,0,,0
2025-05-19 00:57:45,,,,0
2025-05-19 00:58:00,,,,0
2025-05-19 00:58:15,,,,0
2025-05-19 00:58:30,,,,0
2025-05-19 00:58:45,,,,0
2025-05-19 00:59:00,,,,0
2025-05-19 00:59:15,,,,0
2025-05-19 00:59:30,,,,0
2025-05-19 00:59:45,,,,0
2025-05-19 01:00:00,,,,0
2025-05-19 01:00:15,,,,0
2025-05-19 01:00:30,,,,0
2025-05-19 01:00:45,,,,0
2025-05-19 01:01:00,,,,0
2025-05-19 01:01:15,,,,0
2025-05-19 01:01:30,,,,0
2025-05-19 01:01:45,,,,0
2025-05-19 01:02:00,,,,0
2025-05-19 01:02:15,,,,0
2025-05-19 01:02:30,,,,0
2025-05-19 01:02:45,,,,0
2025-05-19 01:03:00,,,,0
2025-05-19 01:03:15,,,,0
2025-05-19 01:03:30,,,,0
2025-05-19 01:03:45,,,,0
2025-05-19 01:04:00,,,,0
2025-05-19 01:04:15,,,,0
2025-05-19 01:04:30,,,,0
2025-05-19 01:04:45,,,,0
2025-05-19 01:05:00,,,,0
2025-05-19 01:05:15,,,,0
2025-05-19 01:05:30,,,,0
2025-05-19 01:05:45,,,,0
2025-05-19 01:06:00,,,,0
2025-05-19 01:06:15,,,,0
2025-05-19 01:06:30,,,,0
2025-05-19 01:06:45,,,,0
2025-05-19 01:07:00,,,,0
2025-05-19 01:07:15,,,,0
2025-05-19 01:07:30,,,,0
2025-05-19 01:07:45,,,,0
2025-05-19 01:08:00,,,,0
2025-05-19 01:08:15,,,,0
2025-05-19 01:08:30,,,,0
2025-05-19 01:08:45,,0,,0
2025-05-19 01:09:00,,0,,0
2025-05-19 01:09:15,,0,,0
2025-05-19 01:09:30,,0,,0
