"Time","{__name__=""gala_gopher_cpu_user_msec"", cpu=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmThreadExhaustion""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""1"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmThreadExhaustion""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""2"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmThreadExhaustion""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""3"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmThreadExhaustion""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""4"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmThreadExhaustion""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""5"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmThreadExhaustion""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""6"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmThreadExhaustion""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""7"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmThreadExhaustion""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""8"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmThreadExhaustion""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""9"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmThreadExhaustion""}"
2025-07-10 21:52:45,8990,9250,9180,14810,15370,9330,15550,9090,0,0
2025-07-10 21:53:00,8990,9250,9180,14810,15370,9330,15550,9090,0,0
2025-07-10 21:53:15,8990,9250,9180,14810,15370,9330,15550,9090,0,0
2025-07-10 21:53:30,8990,9250,9180,14810,15370,9330,15550,9090,0,0
2025-07-10 21:53:45,6770,7760,7610,12990,13910,7830,13520,7840,0,0
2025-07-10 21:54:00,6770,7760,7610,12990,13910,7830,13520,7840,0,0
2025-07-10 21:54:15,6770,7760,7610,12990,13910,7830,13520,7840,0,0
2025-07-10 21:54:30,6770,7760,7610,12990,13910,7830,13520,7840,0,0
2025-07-10 21:54:45,6760,6700,7530,12450,12500,7040,12480,7200,0,0
2025-07-10 21:55:00,6760,6700,7530,12450,12500,7040,12480,7200,0,0
2025-07-10 21:55:15,6760,6700,7530,12450,12500,7040,12480,7200,0,0
2025-07-10 21:55:30,6760,6700,7530,12450,12500,7040,12480,7200,0,0
2025-07-10 21:55:45,7120,7120,7150,12310,12510,7670,12730,7610,0,0
2025-07-10 21:56:00,7120,7120,7150,12310,12510,7670,12730,7610,0,0
2025-07-10 21:56:15,7120,7120,7150,12310,12510,7670,12730,7610,0,0
2025-07-10 21:56:30,7120,7120,7150,12310,12510,7670,12730,7610,0,0
2025-07-10 21:56:45,7530,8690,7830,13770,14240,8180,13460,7660,0,0
2025-07-10 21:57:00,7530,8690,7830,13770,14240,8180,13460,7660,0,0
2025-07-10 21:57:15,7530,8690,7830,13770,14240,8180,13460,7660,0,0
2025-07-10 21:57:30,7530,8690,7830,13770,14240,8180,13460,7660,0,0
2025-07-10 21:57:45,8080,8460,8480,15030,13600,7980,14510,8080,0,0
2025-07-10 21:58:00,8080,8460,8480,15030,13600,7980,14510,8080,0,0
2025-07-10 21:58:15,8080,8460,8480,15030,13600,7980,14510,8080,0,0
2025-07-10 21:58:30,8080,8460,8480,15030,13600,7980,14510,8080,0,0
2025-07-10 21:58:45,7870,9250,8970,14230,14900,8460,15530,8820,0,0
2025-07-10 21:59:00,7870,9250,8970,14230,14900,8460,15530,8820,0,0
2025-07-10 21:59:15,7870,9250,8970,14230,14900,8460,15530,8820,0,0
2025-07-10 21:59:30,7870,9250,8970,14230,14900,8460,15530,8820,0,0
