"Time","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""1"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""2"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""3"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""4"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""5"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""6"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""7"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""8"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""9"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}"
2025-05-12 15:53:45,90,140,100,100,80,170,80,80,0,0
2025-05-12 15:54:00,90,140,100,100,80,170,80,80,0,0
2025-05-12 15:54:15,90,140,100,100,80,170,80,80,0,0
2025-05-12 15:54:30,200,240,220,190,200,310,210,200,0,0
2025-05-12 15:54:45,200,240,220,190,200,310,210,200,0,0
2025-05-12 15:55:00,200,240,220,190,200,310,210,200,0,0
2025-05-12 15:55:15,200,240,220,190,200,310,210,200,0,0
2025-05-12 15:55:30,350,380,340,340,350,400,340,330,0,0
2025-05-12 15:55:45,350,380,340,340,350,400,340,330,0,0
2025-05-12 15:56:00,350,380,340,340,350,400,340,330,0,0
2025-05-12 15:56:15,350,380,340,340,350,400,340,330,0,0
2025-05-12 15:56:30,370,380,360,340,360,420,340,330,0,0
2025-05-12 15:56:45,370,380,360,340,360,420,340,330,0,0
2025-05-12 15:57:00,370,380,360,340,360,420,340,330,0,0
2025-05-12 15:57:15,370,380,360,340,360,420,340,330,0,0
2025-05-12 15:57:30,340,360,370,340,350,360,360,350,0,0
2025-05-12 15:57:45,340,360,370,340,350,360,360,350,0,0
2025-05-12 15:58:00,340,360,370,340,350,360,360,350,0,0
2025-05-12 15:58:15,340,360,370,340,350,360,360,350,0,0
2025-05-12 15:58:30,360,400,380,380,370,410,350,360,0,0
2025-05-12 15:58:45,360,400,380,380,370,410,350,360,0,0
2025-05-12 15:59:00,360,400,380,380,370,410,350,360,0,0
2025-05-12 15:59:15,360,400,380,380,370,410,350,360,0,0
2025-05-12 15:59:30,360,430,390,400,380,400,400,380,0,0
2025-05-12 15:59:45,360,430,390,400,380,400,400,380,0,0
2025-05-12 16:00:00,360,430,390,400,380,400,400,380,0,0
2025-05-12 16:00:15,360,430,390,400,380,400,400,380,0,0
2025-05-12 16:00:30,400,420,390,370,350,380,400,380,0,0
2025-05-12 16:00:45,400,420,390,370,350,380,400,380,0,0
2025-05-12 16:01:00,400,420,390,370,350,380,400,380,0,0
2025-05-12 16:01:15,400,420,390,370,350,380,400,380,0,0
2025-05-12 16:01:30,400,440,430,450,410,450,430,420,0,0
2025-05-12 16:01:45,400,440,430,450,410,450,430,420,0,0
2025-05-12 16:02:00,400,440,430,450,410,450,430,420,0,0
2025-05-12 16:02:15,400,440,430,450,410,450,430,420,0,0
2025-05-12 16:02:30,440,510,460,450,430,480,410,440,0,0
2025-05-12 16:02:45,440,510,460,450,430,480,410,440,0,0
2025-05-12 16:03:00,440,510,460,450,430,480,410,440,0,0
2025-05-12 16:03:15,440,510,460,450,430,480,410,440,0,0
2025-05-12 16:03:30,460,460,450,430,450,450,430,430,0,0
2025-05-12 16:03:45,460,460,450,430,450,450,430,430,0,0
2025-05-12 16:04:00,460,460,450,430,450,450,430,430,0,0
2025-05-12 16:04:15,460,460,450,430,450,450,430,430,0,0
2025-05-12 16:04:30,450,470,450,440,430,490,470,450,0,0
2025-05-12 16:04:45,450,470,450,440,430,490,470,450,0,0
2025-05-12 16:05:00,450,470,450,440,430,490,470,450,0,0
2025-05-12 16:05:15,450,470,450,440,430,490,470,450,0,0
2025-05-12 16:05:30,400,460,410,380,410,390,410,380,0,0
2025-05-12 16:05:45,400,460,410,380,410,390,410,380,0,0
2025-05-12 16:06:00,400,460,410,380,410,390,410,380,0,0
2025-05-12 16:06:15,400,460,410,380,410,390,410,380,0,0
2025-05-12 16:06:30,380,400,390,390,380,380,380,390,0,0
2025-05-12 16:06:45,380,400,390,390,380,380,380,390,0,0
2025-05-12 16:07:00,380,400,390,390,380,380,380,390,0,0
2025-05-12 16:07:15,380,400,390,390,380,380,380,390,0,0
2025-05-12 16:07:30,420,420,410,410,390,440,390,380,0,0
2025-05-12 16:07:45,420,420,410,410,390,440,390,380,0,0
2025-05-12 16:08:00,420,420,410,410,390,440,390,380,0,0
2025-05-12 16:08:15,420,420,410,410,390,440,390,380,0,0
2025-05-12 16:08:30,390,420,370,380,390,420,380,370,0,0
2025-05-12 16:08:45,390,420,370,380,390,420,380,370,0,0
2025-05-12 16:09:00,390,420,370,380,390,420,380,370,0,0
2025-05-12 16:09:15,390,420,370,380,390,420,380,370,0,0
2025-05-12 16:09:30,400,440,390,390,400,410,380,380,0,0
2025-05-12 16:09:45,400,440,390,390,400,410,380,380,0,0
2025-05-12 16:10:00,400,440,390,390,400,410,380,380,0,0
2025-05-12 16:10:15,400,440,390,390,400,410,380,380,0,0
2025-05-12 16:10:30,410,400,400,370,380,400,400,380,0,0
2025-05-12 16:10:45,410,400,400,370,380,400,400,380,0,0
2025-05-12 16:11:00,410,400,400,370,380,400,400,380,0,0
2025-05-12 16:11:15,410,400,400,370,380,400,400,380,0,0
2025-05-12 16:11:30,390,410,390,390,400,390,410,370,0,0
2025-05-12 16:11:45,390,410,390,390,400,390,410,370,0,0
2025-05-12 16:12:00,390,410,390,390,400,390,410,370,0,0
2025-05-12 16:12:15,390,410,390,390,400,390,410,370,0,0
2025-05-12 16:12:30,410,410,420,380,380,410,410,380,0,0
2025-05-12 16:12:45,410,410,420,380,380,410,410,380,0,0
2025-05-12 16:13:00,410,410,420,380,380,410,410,380,0,0
