Time,openeuler-home,openeuler-root,openeuler-swap,sda
2025-05-21 21:14:00,2519040,0,,4624384
2025-05-21 21:14:15,2519040,0,,4624384
2025-05-21 21:14:30,2519040,2105344,98304,16384
2025-05-21 21:14:45,2519040,2105344,98304,16384
2025-05-21 21:15:00,0,139264,98304,16384
2025-05-21 21:15:15,0,139264,98304,16384
2025-05-21 21:15:30,0,139264,16384,16384
2025-05-21 21:15:45,0,139264,16384,16384
2025-05-21 21:16:00,0,249856,16384,393216
2025-05-21 21:16:15,0,249856,16384,393216
2025-05-21 21:16:30,0,249856,16384,0
2025-05-21 21:16:45,0,249856,16384,0
2025-05-21 21:17:00,0,0,16384,0
2025-05-21 21:17:15,0,0,16384,0
2025-05-21 21:17:30,0,0,16384,0
2025-05-21 21:17:45,0,0,16384,0
2025-05-21 21:18:00,0,0,16384,0
2025-05-21 21:18:15,0,0,16384,0
2025-05-21 21:18:30,0,0,16384,0
2025-05-21 21:18:45,0,0,16384,0
2025-05-21 21:19:00,0,0,16384,0
2025-05-21 21:19:15,0,0,16384,0
2025-05-21 21:19:30,0,0,16384,0
2025-05-21 21:19:45,0,0,16384,0
2025-05-21 21:20:00,0,0,16384,0
2025-05-21 21:20:15,0,0,16384,0
2025-05-21 21:20:30,0,0,,0
2025-05-21 21:20:45,0,0,,0
2025-05-21 21:21:00,0,0,,0
2025-05-21 21:21:15,0,0,,0
2025-05-21 21:21:30,0,0,,0
2025-05-21 21:21:45,0,0,,0
2025-05-21 21:22:00,0,0,,0
2025-05-21 21:22:15,0,0,,0
2025-05-21 21:22:30,0,0,,0
2025-05-21 21:22:45,0,0,,4096
2025-05-21 21:23:00,0,0,,4096
2025-05-21 21:23:15,0,0,,4096
2025-05-21 21:23:30,0,0,,4096
2025-05-21 21:23:45,0,0,,0
2025-05-21 21:24:00,0,0,,0
2025-05-21 21:24:15,0,0,,0
2025-05-21 21:24:30,0,0,,0
2025-05-21 21:24:45,0,0,,0
2025-05-21 21:25:00,0,0,,0
2025-05-21 21:25:15,0,0,,0
2025-05-21 21:25:30,0,0,8192,0
2025-05-21 21:25:45,0,0,8192,4096
2025-05-21 21:26:00,0,0,8192,4096
2025-05-21 21:26:15,0,0,8192,4096
2025-05-21 21:26:30,0,0,8192,4096
2025-05-21 21:26:45,0,0,8192,4096
2025-05-21 21:27:00,0,0,8192,0
2025-05-21 21:27:15,0,0,8192,0
2025-05-21 21:27:30,0,0,8192,0
2025-05-21 21:27:45,0,0,8192,0
2025-05-21 21:28:00,0,0,8192,0
2025-05-21 21:28:15,0,0,8192,0
2025-05-21 21:28:30,0,0,8192,0
2025-05-21 21:28:45,0,0,8192,4096
2025-05-21 21:29:00,0,0,8192,4096
2025-05-21 21:29:15,0,0,8192,4096
2025-05-21 21:29:30,0,0,8192,4096
2025-05-21 21:29:45,0,0,8192,0
2025-05-21 21:30:00,0,0,8192,0
2025-05-21 21:30:15,0,0,8192,0
2025-05-21 21:30:30,0,0,,0
2025-05-21 21:30:45,0,0,,0
2025-05-21 21:31:00,0,0,,0
2025-05-21 21:31:15,0,11309056,8192,0
2025-05-21 21:31:30,0,11309056,8192,0
2025-05-21 21:31:45,0,11309056,8192,11313152
2025-05-21 21:32:00,0,11309056,8192,11313152
2025-05-21 21:32:15,0,0,8192,11313152
2025-05-21 21:32:30,0,0,8192,11313152
2025-05-21 21:32:45,0,0,8192,0
2025-05-21 21:33:00,0,0,8192,0
2025-05-21 21:33:15,0,0,8192,0
2025-05-21 21:33:30,0,0,8192,0
2025-05-21 21:33:45,0,0,8192,0
2025-05-21 21:34:00,0,0,8192,0
2025-05-21 21:34:15,0,0,8192,0
2025-05-21 21:34:30,0,0,8192,0
2025-05-21 21:34:45,0,0,8192,0
2025-05-21 21:35:00,0,0,8192,0
2025-05-21 21:35:15,0,0,8192,0
2025-05-21 21:35:30,0,0,8192,0
2025-05-21 21:35:45,0,0,8192,0
2025-05-21 21:36:00,0,0,8192,4096
2025-05-21 21:36:15,0,0,,4096
2025-05-21 21:36:30,0,0,,4096
2025-05-21 21:36:45,0,0,,0
2025-05-21 21:37:00,0,0,,0
2025-05-21 21:37:15,0,0,,0
2025-05-21 21:37:30,0,0,,0
2025-05-21 21:37:45,0,0,,0
