"Time","disk sda"
2025-07-16 06:07:30,12
2025-07-16 06:07:45,12
2025-07-16 06:08:00,12
2025-07-16 06:08:15,12
2025-07-16 06:08:30,12
2025-07-16 06:08:45,13
2025-07-16 06:09:00,13
2025-07-16 06:09:15,13
2025-07-16 06:09:30,13
2025-07-16 06:09:45,13
2025-07-16 06:10:00,13
2025-07-16 06:10:15,13
2025-07-16 06:10:30,13
2025-07-16 06:10:45,13
2025-07-16 06:11:00,13
2025-07-16 06:11:15,13
2025-07-16 06:11:30,13
2025-07-16 06:11:45,13
2025-07-16 06:12:00,13
2025-07-16 06:12:15,13
2025-07-16 06:12:30,13
2025-07-16 06:12:45,13
2025-07-16 06:13:00,12
2025-07-16 06:13:15,12
2025-07-16 06:13:30,12
2025-07-16 06:13:45,12
2025-07-16 06:14:00,12
2025-07-16 06:14:15,12
2025-07-16 06:14:30,13
2025-07-16 06:14:45,13
2025-07-16 06:15:00,13
2025-07-16 06:15:15,13
2025-07-16 06:15:30,13
2025-07-16 06:15:45,13
2025-07-16 06:16:00,13
2025-07-16 06:16:15,13
2025-07-16 06:16:30,13
2025-07-16 06:16:45,13
2025-07-16 06:17:00,13
2025-07-16 06:17:15,13
2025-07-16 06:17:30,13
2025-07-16 06:17:45,13
2025-07-16 06:18:00,13
2025-07-16 06:18:15,13
2025-07-16 06:18:30,13
2025-07-16 06:18:45,13
2025-07-16 06:19:00,13
2025-07-16 06:19:15,13
2025-07-16 06:19:30,13
2025-07-16 06:19:45,13
2025-07-16 06:20:00,13
2025-07-16 06:20:15,13
2025-07-16 06:20:30,13
2025-07-16 06:20:45,13
2025-07-16 06:21:00,13
2025-07-16 06:21:15,13
2025-07-16 06:21:30,13
2025-07-16 06:21:45,13
2025-07-16 06:22:00,13
2025-07-16 06:22:15,13
2025-07-16 06:22:30,13
2025-07-16 06:22:45,13
2025-07-16 06:23:00,13
2025-07-16 06:23:15,13
2025-07-16 06:23:30,13
2025-07-16 06:23:45,13
2025-07-16 06:24:00,13
2025-07-16 06:24:15,13
2025-07-16 06:24:30,13
2025-07-16 06:24:45,13
2025-07-16 06:25:00,13
2025-07-16 06:25:15,13
2025-07-16 06:25:30,13
2025-07-16 06:25:45,13
2025-07-16 06:26:00,13
2025-07-16 06:26:15,13
2025-07-16 06:26:30,13
2025-07-16 06:26:45,13
2025-07-16 06:27:00,13
2025-07-16 06:27:15,13
2025-07-16 06:27:30,13
2025-07-16 06:27:45,13
2025-07-16 06:28:00,13
2025-07-16 06:28:15,13
2025-07-16 06:28:30,13
2025-07-16 06:28:45,13
2025-07-16 06:29:00,13
2025-07-16 06:29:15,13
2025-07-16 06:29:30,13
2025-07-16 06:29:45,13
2025-07-16 06:30:00,13
2025-07-16 06:30:15,13
2025-07-16 06:30:30,13
2025-07-16 06:30:45,13
2025-07-16 06:31:00,13
2025-07-16 06:31:15,13
2025-07-16 06:31:30,13
2025-07-16 06:31:45,13
2025-07-16 06:32:00,13
2025-07-16 06:32:15,13
2025-07-16 06:32:30,13
2025-07-16 06:32:45,13
2025-07-16 06:33:00,13
2025-07-16 06:33:15,13
2025-07-16 06:33:30,13
2025-07-16 06:33:45,13
2025-07-16 06:34:00,13
2025-07-16 06:34:15,13
2025-07-16 06:34:30,13
2025-07-16 06:34:45,13
2025-07-16 06:35:00,13
2025-07-16 06:35:15,13
2025-07-16 06:35:30,13
2025-07-16 06:35:45,13
2025-07-16 06:36:00,13
2025-07-16 06:36:15,13
2025-07-16 06:36:30,13
2025-07-16 06:36:45,13
2025-07-16 06:37:00,13
2025-07-16 06:37:15,13
2025-07-16 06:37:30,13
2025-07-16 06:37:45,12
2025-07-16 06:38:00,12
2025-07-16 06:38:15,12
2025-07-16 06:38:30,12
2025-07-16 06:38:45,13
2025-07-16 06:39:00,13
2025-07-16 06:39:15,13
2025-07-16 06:39:30,13
2025-07-16 06:39:45,13
2025-07-16 06:40:00,13
2025-07-16 06:40:15,13
2025-07-16 06:40:30,13
2025-07-16 06:40:45,13
2025-07-16 06:41:00,13
2025-07-16 06:41:15,13
2025-07-16 06:41:30,13
2025-07-16 06:41:45,13
2025-07-16 06:42:00,13
2025-07-16 06:42:15,13
2025-07-16 06:42:30,13
2025-07-16 06:42:45,13
2025-07-16 06:43:00,13
2025-07-16 06:43:15,13
2025-07-16 06:43:30,13
2025-07-16 06:43:45,13
2025-07-16 06:44:00,13
2025-07-16 06:44:15,13
2025-07-16 06:44:30,12
2025-07-16 06:44:45,12
2025-07-16 06:45:00,12
2025-07-16 06:45:15,12
2025-07-16 06:45:30,13
2025-07-16 06:45:45,13
2025-07-16 06:46:00,13
2025-07-16 06:46:15,13
2025-07-16 06:46:30,13
2025-07-16 06:46:45,13
2025-07-16 06:47:00,13
2025-07-16 06:47:15,13
2025-07-16 06:47:30,13
2025-07-16 06:47:45,13
2025-07-16 06:48:00,13
2025-07-16 06:48:15,13
2025-07-16 06:48:30,13
2025-07-16 06:48:45,13
2025-07-16 06:49:00,13
2025-07-16 06:49:15,13
2025-07-16 06:49:30,13
2025-07-16 06:49:45,13
2025-07-16 06:50:00,13
2025-07-16 06:50:15,13
2025-07-16 06:50:30,13
2025-07-16 06:50:45,13
2025-07-16 06:51:00,13
2025-07-16 06:51:15,13
2025-07-16 06:51:30,13
2025-07-16 06:51:45,13
2025-07-16 06:52:00,13
2025-07-16 06:52:15,13
2025-07-16 06:52:30,13
2025-07-16 06:52:45,13
2025-07-16 06:53:00,13
2025-07-16 06:53:15,13
2025-07-16 06:53:30,13
2025-07-16 06:53:45,13
2025-07-16 06:54:00,13
2025-07-16 06:54:15,13
2025-07-16 06:54:30,13
2025-07-16 06:54:45,13
2025-07-16 06:55:00,13
2025-07-16 06:55:15,13
2025-07-16 06:55:30,13
2025-07-16 06:55:45,13
2025-07-16 06:56:00,13
2025-07-16 06:56:15,13
2025-07-16 06:56:30,13
2025-07-16 06:56:45,13
2025-07-16 06:57:00,13
2025-07-16 06:57:15,13
2025-07-16 06:57:30,13
2025-07-16 06:57:45,13
2025-07-16 06:58:00,13
2025-07-16 06:58:15,13
2025-07-16 06:58:30,13
2025-07-16 06:58:45,13
2025-07-16 06:59:00,13
2025-07-16 06:59:15,13
