Time,openeuler-home,openeuler-root,openeuler-swap,sda,source,Minutes
2025-05-17 16:59:45,1900544,1220608,4325376,,cache_filling,0.0
2025-05-17 17:00:00,1519616,2953216,4325376,,cache_filling,0.25
2025-05-17 17:00:15,1614848,2953216,4325376,,cache_filling,0.5
2025-05-17 17:00:30,1614848,2964480,4325376,2880886.628848485,cache_filling,0.75
2025-05-17 17:00:45,1614848,2975334,4677632,2880886.628848485,cache_filling,1.0
2025-05-17 17:01:00,1999872,2973072,4677632,2853853.0288484856,cache_filling,1.25
2025-05-17 17:01:15,1999872,2780439,4677632,2853853.0288484856,cache_filling,1.5
2025-05-17 17:01:30,1999872,2792949,5010468,2853853.0288484856,cache_filling,1.75
2025-05-17 17:01:45,1999872,2944773,5019896,2853853.0288484856,cache_filling,2.0
2025-05-17 17:02:00,3707904,2965991,6963200,2866055.0128484857,cache_filling,2.25
2025-05-17 17:02:15,3707904,3022714,6963200,2880042.8528484856,cache_filling,2.5
2025-05-17 17:02:30,3707904,3822886,9248768,2880042.8528484856,cache_filling,2.75
2025-05-17 17:02:45,3707904,3984055,6062080,2880042.8528484856,cache_filling,3.0
2025-05-17 17:03:00,1771520,4024337,6062080,2880042.8528484856,cache_filling,3.25
2025-05-17 17:03:15,2140160,4038630,6119513,2880042.8528484856,cache_filling,3.5
2025-05-17 17:03:30,2140160,4088824,6251882,2880042.8528484856,cache_filling,3.75
2025-05-17 17:03:45,2140160,4179533,6250788,2880042.8528484856,cache_filling,4.0
2025-05-17 17:04:00,2301952,4179533,6285016,2880042.8528484856,cache_filling,4.25
2025-05-17 17:04:15,2301952,4412292,6593040,2880042.8528484856,cache_filling,4.5
2025-05-17 17:04:30,2301952,4433839,6691479,2880042.8528484856,cache_filling,4.75
2025-05-17 17:04:45,2096087,4439749,6776928,2880042.8528484856,cache_filling,5.0
2025-05-17 17:05:00,2096087,4437028,6788290,2880042.8528484856,cache_filling,5.25
2025-05-17 17:05:15,2134007,4437028,6937323,2880042.8528484856,cache_filling,5.5
2025-05-17 17:05:30,2152938,4437028,6924090,2880042.8528484856,cache_filling,5.75
2025-05-17 17:05:45,2108318,4451132,6805768,2880042.8528484856,cache_filling,6.0
2025-05-17 17:06:00,2109178,4445913,6715575,2871625.572848486,cache_filling,6.25
2025-05-17 17:06:15,2161820,4396343,6471346,2871625.572848486,cache_filling,6.5
2025-05-17 17:06:30,2154615,4397931,6332110,2871625.572848486,cache_filling,6.75
2025-05-17 17:06:45,2069887,4393525,6207671,2871625.572848486,cache_filling,7.0
2025-05-17 17:07:00,2023978,4073413,6203520,2871625.572848486,cache_filling,7.25
2025-05-17 17:07:15,1715432,4058524,6070443,2871625.572848486,cache_filling,7.5
