"Time","{__name__=""gala_gopher_tcp_link_retran_packets"", client_ip=""172.24.0.4"", comm=""java"", container_id=""af552217e13f"", container_image=""springcommunity/spring-petclinic-customers-service"", container_name=""/customers-service"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", protocol=""10"", role=""server"", scenario=""customerNetLoss"", server_ip=""172.24.0.8"", server_port=""8081"", tgid=""715730""}"
2025-05-19 16:49:45,0
2025-05-19 16:50:00,0
2025-05-19 16:50:15,0
2025-05-19 16:50:30,0
2025-05-19 16:50:45,0
2025-05-19 16:51:00,0
2025-05-19 16:51:15,0
2025-05-19 16:51:30,0
2025-05-19 16:51:45,6
2025-05-19 16:52:00,6
2025-05-19 16:52:15,6
2025-05-19 16:52:30,6
2025-05-19 16:52:45,0
2025-05-19 16:53:00,0
2025-05-19 16:53:15,0
2025-05-19 16:53:30,0
2025-05-19 16:53:45,0
2025-05-19 16:54:00,0
2025-05-19 16:54:15,0
2025-05-19 16:54:30,0
2025-05-19 16:54:45,0
2025-05-19 16:55:00,0
2025-05-19 16:55:15,0
2025-05-19 16:55:30,0
2025-05-19 16:55:45,45
2025-05-19 16:56:00,45
2025-05-19 16:56:15,45
2025-05-19 16:56:30,45
2025-05-19 16:56:45,45
2025-05-19 16:57:00,45
2025-05-19 16:57:15,45
2025-05-19 16:57:30,45
2025-05-19 16:57:45,0
2025-05-19 16:58:00,0
2025-05-19 16:58:15,0
2025-05-19 16:58:30,0
2025-05-19 16:58:45,90
2025-05-19 16:59:00,90
2025-05-19 16:59:15,90
2025-05-19 16:59:30,90
2025-05-19 16:59:45,151
2025-05-19 17:00:00,151
2025-05-19 17:00:15,151
2025-05-19 17:00:30,151
2025-05-19 17:00:45,73
2025-05-19 17:01:00,73
2025-05-19 17:01:15,73
2025-05-19 17:01:30,73
2025-05-19 17:01:45,0
2025-05-19 17:02:00,0
2025-05-19 17:02:15,0
2025-05-19 17:02:30,0
2025-05-19 17:02:45,17
2025-05-19 17:03:00,17
2025-05-19 17:03:15,17
2025-05-19 17:03:30,17
2025-05-19 17:03:45,77
