"Time","{__name__=""gala_gopher_tcp_link_retran_packets"", client_ip=""127.0.0.1"", comm=""java"", container_id=""8a9adb38e0fb"", container_image=""petclinic-customers-service-chaos:latest"", container_name=""/customers-service"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", protocol=""10"", role=""server"", scenario=""customers oom"", server_ip=""127.0.0.1"", server_port=""33825"", tgid=""2773186""}"
2025-07-15 23:06:00,0
2025-07-15 23:06:15,0
2025-07-15 23:06:30,0
2025-07-15 23:06:45,0
2025-07-15 23:07:00,0
2025-07-15 23:07:15,0
2025-07-15 23:07:30,0
2025-07-15 23:07:45,0
2025-07-15 23:08:00,0
2025-07-15 23:08:15,0
2025-07-15 23:08:30,0
2025-07-15 23:08:45,0
2025-07-15 23:09:00,0
2025-07-15 23:09:15,0
2025-07-15 23:09:30,0
2025-07-15 23:09:45,0
2025-07-15 23:10:00,0
2025-07-15 23:10:15,0
2025-07-15 23:10:30,0
2025-07-15 23:10:45,0
2025-07-15 23:56:15,0
2025-07-15 23:56:30,0
2025-07-15 23:56:45,0
2025-07-15 23:57:00,0
2025-07-15 23:57:15,0
2025-07-15 23:57:30,0
2025-07-15 23:57:45,0
2025-07-15 23:58:00,0
2025-07-15 23:58:15,0
2025-07-15 23:58:30,0
2025-07-15 23:58:45,0
2025-07-15 23:59:00,0
2025-07-15 23:59:15,0
2025-07-15 23:59:30,0
2025-07-15 23:59:45,0
2025-07-16 00:00:00,0
2025-07-16 00:00:15,0
2025-07-16 00:00:30,0
2025-07-16 00:00:45,0
2025-07-16 00:01:00,0
