"Time","{__name__=""gala_gopher_cpu_util_per"", cpu=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_util_per"", cpu=""1"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_util_per"", cpu=""2"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_util_per"", cpu=""3"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_util_per"", cpu=""4"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_util_per"", cpu=""5"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_util_per"", cpu=""6"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_util_per"", cpu=""7"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_util_per"", cpu=""8"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_util_per"", cpu=""9"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}"
2025-05-19 01:53:30,3.62,4.04,5.45,3.42,3.74,3.97,4.13,3.49,0,0
2025-05-19 01:53:45,3.62,4.04,5.45,3.42,3.74,3.97,4.13,3.49,0,0
2025-05-19 01:54:00,3.62,4.04,5.45,3.42,3.74,3.97,4.13,3.49,0,0
2025-05-19 01:54:15,3.62,4.04,5.45,3.42,3.74,3.97,4.13,3.49,0,0
2025-05-19 01:54:30,29.2,30.5,31.0,33.2,30.7,30.6,31.2,30.5,0,0
2025-05-19 01:54:45,29.2,30.5,31.0,33.2,30.7,30.6,31.2,30.5,0,0
2025-05-19 01:55:00,29.2,30.5,31.0,33.2,30.7,30.6,31.2,30.5,0,0
2025-05-19 01:55:15,29.2,30.5,31.0,33.2,30.7,30.6,31.2,30.5,0,0
2025-05-19 01:55:30,20.8,23.6,24.4,21.8,23.8,22.1,21.7,21.2,0,0
2025-05-19 01:55:45,20.8,23.6,24.4,21.8,23.8,22.1,21.7,21.2,0,0
2025-05-19 01:56:00,20.8,23.6,24.4,21.8,23.8,22.1,21.7,21.2,0,0
2025-05-19 01:56:15,20.8,23.6,24.4,21.8,23.8,22.1,21.7,21.2,0,0
2025-05-19 01:56:30,18.8,20.6,20.8,19.6,20.7,19.3,21.1,20.1,0,0
2025-05-19 01:56:45,18.8,20.6,20.8,19.6,20.7,19.3,21.1,20.1,0,0
2025-05-19 01:57:00,18.8,20.6,20.8,19.6,20.7,19.3,21.1,20.1,0,0
2025-05-19 01:57:15,18.8,20.6,20.8,19.6,20.7,19.3,21.1,20.1,0,0
2025-05-19 01:57:30,20.8,23.1,22.8,23.2,20.9,22.6,21.2,20.8,0,0
2025-05-19 01:57:45,20.8,23.1,22.8,23.2,20.9,22.6,21.2,20.8,0,0
2025-05-19 01:58:00,20.8,23.1,22.8,23.2,20.9,22.6,21.2,20.8,0,0
2025-05-19 01:58:15,20.8,23.1,22.8,23.2,20.9,22.6,21.2,20.8,0,0
2025-05-19 01:58:30,26.4,28.3,28.2,25.1,24.2,23.6,24.7,25.4,0,0
2025-05-19 01:58:45,26.4,28.3,28.2,25.1,24.2,23.6,24.7,25.4,0,0
