"Time","{__name__=""gala_gopher_cpu_user_msec"", cpu=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""1"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""2"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""3"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""4"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""5"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""6"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""7"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""8"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}","{__name__=""gala_gopher_cpu_user_msec"", cpu=""9"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""gatewayMemStress""}"
2025-05-19 01:53:30,1650,1680,2620,1390,1660,1670,1940,1600,0,0
2025-05-19 01:53:45,1650,1680,2620,1390,1660,1670,1940,1600,0,0
2025-05-19 01:54:00,1650,1680,2620,1390,1660,1670,1940,1600,0,0
2025-05-19 01:54:15,1650,1680,2620,1390,1660,1670,1940,1600,0,0
2025-05-19 01:54:30,15690,16330,16780,18190,16480,16550,17010,16640,0,0
2025-05-19 01:54:45,15690,16330,16780,18190,16480,16550,17010,16640,0,0
2025-05-19 01:55:00,15690,16330,16780,18190,16480,16550,17010,16640,0,0
2025-05-19 01:55:15,15690,16330,16780,18190,16480,16550,17010,16640,0,0
2025-05-19 01:55:30,10750,12320,12950,11390,12660,11580,11400,11020,0,0
2025-05-19 01:55:45,10750,12320,12950,11390,12660,11580,11400,11020,0,0
2025-05-19 01:56:00,10750,12320,12950,11390,12660,11580,11400,11020,0,0
2025-05-19 01:56:15,10750,12320,12950,11390,12660,11580,11400,11020,0,0
2025-05-19 01:56:30,9600,10600,10860,10060,10780,9880,10950,10480,0,0
2025-05-19 01:56:45,9600,10600,10860,10060,10780,9880,10950,10480,0,0
2025-05-19 01:57:00,9600,10600,10860,10060,10780,9880,10950,10480,0,0
2025-05-19 01:57:15,9600,10600,10860,10060,10780,9880,10950,10480,0,0
2025-05-19 01:57:30,10740,11870,11870,12050,10780,11820,11020,10690,0,0
2025-05-19 01:57:45,10740,11870,11870,12050,10780,11820,11020,10690,0,0
2025-05-19 01:58:00,10740,11870,11870,12050,10780,11820,11020,10690,0,0
2025-05-19 01:58:15,10740,11870,11870,12050,10780,11820,11020,10690,0,0
2025-05-19 01:58:30,13800,15090,14840,13060,12560,12200,12750,13330,0,0
2025-05-19 01:58:45,13800,15090,14840,13060,12560,12200,12750,13330,0,0
2025-05-19 01:59:00,13800,15090,14840,13060,12560,12200,12750,13330,0,0
2025-05-19 01:59:15,13800,15090,14840,13060,12560,12200,12750,13330,0,0
2025-05-19 01:59:30,13080,14260,15290,15570,14640,14940,13650,15430,0,0
2025-05-19 01:59:45,13080,14260,15290,15570,14640,14940,13650,15430,0,0
2025-05-19 02:00:00,13080,14260,15290,15570,14640,14940,13650,15430,0,0
