"Time","{__name__=""gala_gopher_mem_cache_kB"", infos=""/proc/meminfo"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmgateway""}"
2025-07-08 23:11:45,7050672
2025-07-08 23:12:00,7050672
2025-07-08 23:12:15,7050672
2025-07-08 23:12:30,7050672
2025-07-08 23:12:45,7053024
2025-07-08 23:13:00,7053024
2025-07-08 23:13:15,7053024
2025-07-08 23:13:30,7053024
2025-07-08 23:13:45,7055356
2025-07-08 23:14:00,7055356
2025-07-08 23:14:15,7055356
2025-07-08 23:14:30,7055356
2025-07-08 23:14:45,7056700
2025-07-08 23:15:00,7056700
2025-07-08 23:15:15,7056700
2025-07-08 23:15:30,7056700
2025-07-08 23:15:45,7059544
2025-07-08 23:16:00,7059544
2025-07-08 23:16:15,7059544
2025-07-08 23:16:30,7059544
2025-07-08 23:16:45,7061408
2025-07-08 23:17:00,7061408
2025-07-08 23:17:15,7061408
2025-07-08 23:17:30,7061408
2025-07-08 23:17:45,7059476
2025-07-08 23:18:00,7059476
2025-07-08 23:18:15,7059476
2025-07-08 23:18:30,7059476
2025-07-08 23:18:45,7060924
2025-07-08 23:19:00,7060924
2025-07-08 23:19:15,7060924
2025-07-08 23:19:30,7060924
2025-07-08 23:19:45,7062928
2025-07-08 23:20:00,7062928
2025-07-08 23:20:15,7062928
2025-07-08 23:20:30,7062928
2025-07-08 23:20:45,7064268
2025-07-08 23:21:00,7064268
2025-07-08 23:21:15,7064268
2025-07-08 23:21:30,7064268
2025-07-08 23:21:45,7065748
2025-07-08 23:22:00,7065748
2025-07-08 23:22:15,7065748
2025-07-08 23:22:30,7065748
2025-07-08 23:22:45,7067072
2025-07-08 23:23:00,7067072
2025-07-08 23:23:15,7067072
2025-07-08 23:23:30,7067072
2025-07-08 23:23:45,7068492
2025-07-08 23:24:00,7068492
2025-07-08 23:24:15,7068492
2025-07-08 23:24:30,7068492
2025-07-08 23:24:45,7070088
2025-07-08 23:25:00,7070088
2025-07-08 23:25:15,7070088
2025-07-08 23:25:30,7070088
2025-07-08 23:25:45,7071344
2025-07-08 23:26:00,7071344
2025-07-08 23:26:15,7071344
2025-07-08 23:26:30,7071344
2025-07-08 23:26:45,7062080
2025-07-08 23:27:00,7062080
2025-07-08 23:27:15,7062080
2025-07-08 23:27:30,7062080
2025-07-08 23:27:45,7063324
2025-07-08 23:28:00,7063324
2025-07-08 23:28:15,7063324
2025-07-08 23:28:30,7063324
2025-07-08 23:28:45,7064644
2025-07-08 23:29:00,7064644
2025-07-08 23:29:15,7064644
2025-07-08 23:29:30,7064644
2025-07-08 23:29:45,7065768
2025-07-08 23:30:00,7065768
2025-07-08 23:30:15,7065768
2025-07-08 23:30:30,7065768
2025-07-08 23:30:45,7066888
2025-07-08 23:31:00,7066888
2025-07-08 23:31:15,7066888
2025-07-08 23:31:30,7066888
2025-07-08 23:31:45,7068076
2025-07-08 23:32:00,7068076
2025-07-08 23:32:15,7068076
2025-07-08 23:32:30,7068076
2025-07-08 23:32:45,7069188
2025-07-08 23:33:00,7069188
2025-07-08 23:33:15,7069188
2025-07-08 23:33:30,7069188
2025-07-08 23:33:45,7070360
2025-07-08 23:34:00,7070360
2025-07-08 23:34:15,7070360
2025-07-08 23:34:30,7070360
2025-07-08 23:34:45,7071196
2025-07-08 23:35:00,7071196
2025-07-08 23:35:15,7071196
2025-07-08 23:35:30,7071196
2025-07-08 23:35:45,7072364
2025-07-08 23:36:00,7072364
2025-07-08 23:36:15,7072364
2025-07-08 23:36:30,7072364
2025-07-08 23:36:45,7073344
2025-07-08 23:37:00,7073344
2025-07-08 23:37:15,7073344
2025-07-08 23:37:30,7073344
2025-07-08 23:37:45,7074284
2025-07-08 23:38:00,7074284
2025-07-08 23:38:15,7074284
2025-07-08 23:38:30,7074284
2025-07-08 23:38:45,7075276
2025-07-08 23:39:00,7075276
2025-07-08 23:39:15,7075276
2025-07-08 23:39:30,7075276
2025-07-08 23:39:45,7076256
2025-07-08 23:40:00,7076256
2025-07-08 23:40:15,7076256
2025-07-08 23:40:30,7076256
2025-07-08 23:40:45,7077164
2025-07-08 23:41:00,7077164
2025-07-08 23:41:15,7077164
2025-07-08 23:41:30,7077164
2025-07-08 23:41:45,7096404
2025-07-08 23:42:00,7096404
2025-07-08 23:42:15,7096404
2025-07-08 23:42:30,7096404
2025-07-08 23:42:45,7097276
2025-07-08 23:43:00,7097276
2025-07-08 23:43:15,7097276
2025-07-08 23:43:30,7097276
2025-07-08 23:43:45,7089408
2025-07-08 23:44:00,7089408
2025-07-08 23:44:15,7089408
2025-07-08 23:44:30,7089408
2025-07-08 23:44:45,7090180
2025-07-08 23:45:00,7090180
2025-07-08 23:45:15,7090180
2025-07-08 23:45:30,7090180
2025-07-08 23:45:45,7091044
2025-07-08 23:46:00,7091044
2025-07-08 23:46:15,7091044
2025-07-08 23:46:30,7091044
2025-07-08 23:46:45,7091932
2025-07-08 23:47:00,7091932
2025-07-08 23:47:15,7091932
2025-07-08 23:47:30,7091932
2025-07-08 23:47:45,7093088
2025-07-08 23:48:00,7093088
2025-07-08 23:48:15,7093088
2025-07-08 23:48:30,7093088
2025-07-08 23:48:45,7093924
2025-07-08 23:49:00,7093924
2025-07-08 23:49:15,7093924
2025-07-08 23:49:30,7093924
2025-07-08 23:49:45,7094444
2025-07-08 23:50:00,7094444
2025-07-08 23:50:15,7094444
2025-07-08 23:50:30,7094444
2025-07-08 23:50:45,7095328
2025-07-08 23:51:00,7095328
2025-07-08 23:51:15,7095328
2025-07-08 23:51:30,7095328
2025-07-08 23:51:45,7096064
2025-07-08 23:52:00,7096064
2025-07-08 23:52:15,7096064
2025-07-08 23:52:30,7096064
2025-07-08 23:52:45,7096696
2025-07-08 23:53:00,7096696
2025-07-08 23:53:15,7096696
2025-07-08 23:53:30,7096696
2025-07-08 23:53:45,7097496
2025-07-08 23:54:00,7097496
2025-07-08 23:54:15,7097496
2025-07-08 23:54:30,7097496
2025-07-08 23:54:45,7098224
2025-07-08 23:55:00,7098224
2025-07-08 23:55:15,7098224
2025-07-08 23:55:30,7098224
2025-07-08 23:55:45,7098980
2025-07-08 23:56:00,7098980
2025-07-08 23:56:15,7098980
2025-07-08 23:56:30,7098980
2025-07-08 23:56:45,7099716
2025-07-08 23:57:00,7099716
2025-07-08 23:57:15,7099716
2025-07-08 23:57:30,7099716
2025-07-08 23:57:45,7100364
2025-07-08 23:58:00,7100364
2025-07-08 23:58:15,7100364
2025-07-08 23:58:30,7100364
2025-07-08 23:58:45,7101096
2025-07-08 23:59:00,7101096
2025-07-08 23:59:15,7101096
2025-07-08 23:59:30,7101096
2025-07-08 23:59:45,7101924
2025-07-09 00:00:00,7101924
2025-07-09 00:00:15,7101924
2025-07-09 00:00:30,7101924
2025-07-09 00:00:45,7102692
2025-07-09 00:01:00,7102692
2025-07-09 00:01:15,7102692
2025-07-09 00:01:30,7102692
2025-07-09 00:01:45,7103308
2025-07-09 00:02:00,7103308
2025-07-09 00:02:15,7103308
2025-07-09 00:02:30,7103308
2025-07-09 00:02:45,7103872
2025-07-09 00:03:00,7103872
2025-07-09 00:03:15,7103872
2025-07-09 00:03:30,7103872
2025-07-09 00:03:45,7104556
2025-07-09 00:04:00,7104556
2025-07-09 00:04:15,7104556
2025-07-09 00:04:30,7104556
2025-07-09 00:04:45,7105148
2025-07-09 00:05:00,7105148
2025-07-09 00:05:15,7105148
2025-07-09 00:05:30,7105148
2025-07-09 00:05:45,7105832
2025-07-09 00:06:00,7105832
2025-07-09 00:06:15,7105832
2025-07-09 00:06:30,7105832
2025-07-09 00:06:45,7106536
2025-07-09 00:07:00,7106536
2025-07-09 00:07:15,7106536
2025-07-09 00:07:30,7106536
2025-07-09 00:07:45,7107196
2025-07-09 00:08:00,7107196
2025-07-09 00:08:15,7107196
2025-07-09 00:08:30,7107196
2025-07-09 00:08:45,7107848
2025-07-09 00:09:00,7107848
2025-07-09 00:09:15,7107848
2025-07-09 00:09:30,7107848
2025-07-09 00:09:45,7108524
2025-07-09 00:10:00,7108524
2025-07-09 00:10:15,7108524
2025-07-09 00:10:30,7108524
2025-07-09 00:10:45,7109156
2025-07-09 00:11:00,7109156
2025-07-09 00:11:15,7109156
2025-07-09 00:11:30,7109156
2025-07-09 00:11:45,7109792
2025-07-09 00:12:00,7109792
2025-07-09 00:12:15,7109792
2025-07-09 00:12:30,7109792
2025-07-09 00:12:45,7110432
2025-07-09 00:13:00,7110432
2025-07-09 00:13:15,7110432
2025-07-09 00:13:30,7110432
2025-07-09 00:13:45,7119248
2025-07-09 00:14:00,7119248
2025-07-09 00:14:15,7119248
2025-07-09 00:14:30,7119248
2025-07-09 00:14:45,7119836
2025-07-09 00:15:00,7119836
2025-07-09 00:15:15,7119836
2025-07-09 00:15:30,7119836
2025-07-09 00:15:45,7132224
2025-07-09 00:16:00,7132224
2025-07-09 00:16:15,7132224
2025-07-09 00:16:30,7132224
2025-07-09 00:16:45,7133656
2025-07-09 00:17:00,7133656
2025-07-09 00:17:15,7133656
2025-07-09 00:17:30,7133656
2025-07-09 00:17:45,7134524
2025-07-09 00:18:00,7134524
2025-07-09 00:18:15,7134524
2025-07-09 00:18:30,7134524
2025-07-09 00:18:45,7134708
2025-07-09 00:19:00,7134708
2025-07-09 00:19:15,7134708
