"Time","{__name__=""gala_gopher_block_read_bytes"", blk_name=""openeuler-home"", disk_name=""sda"", first_minor=""2"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""a90b4955-ab8b-ca4d-900c-95043d022eef-10.0.2.15"", major=""253"", scenario=""customer-service-netloss-20""}"
2025-04-28 17:28:00,0
2025-04-28 17:28:15,0
2025-04-28 17:28:30,0
2025-04-28 17:28:45,1761280
2025-04-28 17:29:00,1761280
2025-04-28 17:29:15,1761280
2025-04-28 17:29:30,1761280
2025-04-28 17:29:45,4096
2025-04-28 17:30:00,4096
2025-04-28 17:30:15,4096
2025-04-28 17:30:30,4096
2025-04-28 17:30:45,0
2025-04-28 17:31:00,0
2025-04-28 17:31:15,0
2025-04-28 17:31:30,0
2025-04-28 17:31:45,0
2025-04-28 17:32:00,0
2025-04-28 17:32:15,0
2025-04-28 17:32:30,0
2025-04-28 17:32:45,0
2025-04-28 17:33:00,0
2025-04-28 17:33:15,0
2025-04-28 17:33:30,0
2025-04-28 17:33:45,0
2025-04-28 17:34:00,0
2025-04-28 17:34:15,0
2025-04-28 17:34:30,0
2025-04-28 17:34:45,16384
2025-04-28 17:35:00,16384
2025-04-28 17:35:15,16384
2025-04-28 17:35:30,16384
2025-04-28 17:35:45,16384
2025-04-28 17:36:00,2686976
2025-04-28 17:36:15,2686976
2025-04-28 17:36:30,2686976
2025-04-28 17:36:45,2686976
2025-04-28 17:37:00,0
2025-04-28 17:37:15,0
2025-04-28 17:37:30,0
2025-04-28 17:37:45,0
2025-04-28 17:38:00,421888
2025-04-28 17:38:15,421888
2025-04-28 17:38:30,421888
2025-04-28 17:38:45,421888
2025-04-28 17:39:00,421888
2025-04-28 17:39:15,421888
2025-04-28 17:39:30,15392768
2025-04-28 17:39:45,15392768
2025-04-28 17:40:00,0
2025-04-28 17:40:15,0
2025-04-28 17:40:30,0
2025-04-28 17:40:45,0
2025-04-28 17:41:00,135168
2025-04-28 17:41:15,135168
2025-04-28 17:41:30,135168
2025-04-28 17:41:45,135168
2025-04-28 17:42:00,16384
2025-04-28 17:42:15,16384
2025-04-28 17:42:30,16384
2025-04-28 17:42:45,16384
2025-04-28 17:43:00,16384
2025-04-28 17:43:15,0
2025-04-28 17:43:30,0
2025-04-28 17:43:45,0
2025-04-28 17:44:00,0
2025-04-28 17:44:15,643072
2025-04-28 17:44:30,643072
2025-04-28 17:44:45,643072
2025-04-28 17:45:00,643072
2025-04-28 17:45:15,299008
2025-04-28 17:45:30,299008
2025-04-28 17:45:45,299008
2025-04-28 17:46:00,299008
2025-04-28 17:46:15,32768
2025-04-28 17:46:30,32768
2025-04-28 17:46:45,32768
2025-04-28 17:47:00,32768
2025-04-28 17:47:15,0
2025-04-28 17:47:30,0
2025-04-28 17:47:45,0
2025-04-28 17:48:00,0
2025-04-28 17:48:15,24576
2025-04-28 17:48:30,24576
2025-04-28 17:48:45,24576
2025-04-28 17:49:00,24576
2025-04-28 17:49:15,28672
2025-04-28 17:49:30,28672
2025-04-28 17:49:45,28672
2025-04-28 17:50:00,28672
2025-04-28 17:50:15,28672
2025-04-28 17:50:30,176128
2025-04-28 17:50:45,176128
2025-04-28 17:51:00,176128
2025-04-28 17:51:15,176128
2025-04-28 17:51:30,8192
2025-04-28 17:51:45,8192
2025-04-28 17:52:00,8192
